順序	緯度	經度	海拔（約）	類型	名稱
129	23.466103	120.951509	3405.7	gpx	N/A
130	23.466242	120.951423	3415.1	gpx	N/A
131	23.466371	120.951680	3435.4	gpx	N/A
132	23.466445	120.951564	3439.7	gpx	N/A
133	23.466448	120.952631	3490.6	gpx	N/A
134	23.466593	120.952504	3496.7	gpx	N/A
135	23.466739	120.952702	3503.4	gpx	N/A
136	23.466819	120.952652	3506	gpx	N/A
137	23.466811	120.952832	3511.2	gpx	N/A
138	23.466598	120.953051	3518.8	gpx	N/A
139	23.466626	120.953228	3524.6	gpx	N/A
140	23.467093	120.953093	3529.3	gpx	N/A
141	23.466929	120.953348	3530.7	gpx	N/A
142	23.466912	120.953981	3535	gpx	N/A
143	23.467197	120.953742	3615.7	gpx	N/A
144	23.467134	120.954074	3624.3	gpx	N/A
145	23.467257	120.954522	3628.6	gpx	N/A
146	23.467393	120.954250	3629.9	comm	comm
147	23.467474	120.954591	3630.6	gpx	N/A
148	23.467809	120.954193	3637.4	gpx	N/A
149	23.468166	120.954034	3645.8	gpx	N/A
150	23.468099	120.954909	3666.7	gpx	N/A
151	23.468890	120.954098	3703.4	gpx	N/A
152	23.468661	120.955219	3729.6	gpx	N/A
153	23.469345	120.954482	3739.4	gpx	N/A
154	23.469238	120.955548	3748.9	gpx	N/A
155	23.469269	120.955645	3749.9	gpx	N/A
156	23.469389	120.955558	3750.8	gpx	N/A
157	23.469454	120.955843	3755.5	gpx	N/A
158	23.469239	120.956065	3763.6	gpx	N/A
159	23.469580	120.956063	3768.7	gpx	N/A
160	23.469579	120.956178	3770.2	gpx	N/A
161	23.469877	120.956060	3773.2	gpx	N/A
162	23.470021	120.956212	3778.8	gpx	N/A
163	23.470446	120.956039	3769.7	gpx	N/A
164	23.470445	120.956426	3804.2	gpx	N/A
165	23.470104	120.956675	3825.1	gpx	N/A
166	23.470025	120.956811	3828.3	gpx	N/A
167	23.470145	120.956832	3831.2	gpx	N/A
168	23.470105	120.956944	3833.6	gpx	N/A
169	23.470018	120.957270	3833.6	comm	peak
