順序	緯度	經度	海拔（約）	類型	名稱
1(cabin)	22.615284	120.7422	2103.9	comm	cabin
2	22.615284	120.7422	2103.9	gpx	
3	22.615284	120.7422	2139.5	gpx	
4	22.615116	120.741212	2125.2	gpx	
5	22.614665	120.740254	2112.3	gpx	
6	22.614658	120.741309	2095.3	gpx	
7	22.614431	120.741522	2098.5	gpx	
8	22.614531	120.742248	2128.4	gpx	
9	22.61368	120.742493	2185.1	gpx	
10	22.613673	120.742893	2201.3	gpx	
11	22.613325	120.742896	2213.7	gpx	
12	22.613059	120.743093	2223.7	gpx	
13	22.613034	120.743446	2232.1	gpx	
14	22.612669	120.743643	2240.9	gpx	
15	22.61253	120.743887	2247.4	gpx	
16	22.612393	120.744282	2260.7	gpx	
17	22.612439	120.745151	2287.7	gpx	
18	22.612654	120.745494	2310.0	gpx	
19	22.612499	120.746042	2333.3	gpx	
20	22.613635	120.747171	2402.0	gpx	
21	22.614277	120.747492	2433.0	gpx	
22(comm)	22.61425	120.7478	2451.571294386407	comm	comm
