順序	緯度	經度	海拔（約）	類型	名稱
1(comm)	22.61425	120.7478	2451.571294386407	comm	comm
2	22.614314	120.747843	2454.2	gpx	
3	22.614767	120.748047	2476.1	gpx	
4	22.614784	120.748346	2484.3	gpx	
5	22.61511	120.748611	2491.7	gpx	
6	22.615073	120.74897	2497.1	gpx	
7	22.614785	120.748771	2500.4	gpx	
8	22.614586	120.749825	2520.0	gpx	
9	22.614877	120.750921	2550.5	gpx	
10	22.614901	120.751543	2575.8	gpx	
11	22.6153	120.751919	2602.0	gpx	
12	22.616176	120.752076	2668.0	gpx	
13	22.616698	120.752627	2708.6	gpx	
14	22.61711	120.75263	2728.6	gpx	
15	22.617861	120.752316	2749.8	gpx	
16	22.617325	120.753359	2766.6	gpx	
17	22.617304	120.753444	2768.6	gpx	
18	22.617613	120.753307	2774.1	gpx	
19	22.617656	120.753385	2777.8	gpx	
20	22.617538	120.753677		gpx	
21	22.617681	120.753666		gpx	
22	22.617536	120.753939	2796.5	gpx	
23	22.617289	120.754112	2806.0	gpx	
24	22.617398	120.754261	2809.2	gpx	
25	22.617181	120.754339	2817.1	gpx	
26	22.616816	120.754109	2824.9	gpx	
27	22.61627	120.754321	2833.9	gpx	
28	22.617211	120.754759	2838.5	gpx	
29	22.617915	120.755217	2852.6	gpx	
30	22.618087	120.755504	2857.6	gpx	
31	22.617997	120.7553	2860.8	gpx	
32	22.619105	120.756017	2877.7	gpx	
33	22.620253	120.756514	2909.1	gpx	
34	22.620517	120.756888	2921.2	gpx	
35	22.621481	120.757019	2945.8	gpx	
36	22.622206	120.757289	2942.3	gpx	
37	22.623093	120.757846	2933.5	gpx	
38	22.624196	120.759212	2934.1	gpx	
39	22.624434	120.759903	2937.6	gpx	
40	22.625831	120.760781	2958.3	gpx	
41	22.62707	120.761374	3000.7	gpx	
