順序	緯度	經度	海拔（約）	類型	名稱
1	22.615088	120.702209	1202.0	gpx	
2	22.614958	120.701885	1203.7	gpx	
3	22.615205	120.701695	1236.0	gpx	
4	22.615405	120.701642	1247.5	gpx	
5	22.615677	120.701779	1253.6	gpx	
6	22.61588	120.70148	1253.7	gpx	
7	22.616116	120.701584	1253.9	gpx	
8	22.616251	120.701439	1254.0	gpx	
9	22.616275	120.701188	1254.1	gpx	
10	22.61655	120.701017	1301.0	gpx	
11	22.616439	120.700561	1281.3	gpx	
12	22.616764	120.700355	1284.4	gpx	
13	22.617318	120.700609	1286.9	gpx	
14	22.618166	120.701233	1295.1	gpx	
15	22.619461	120.701734	1309.4	gpx	
16	22.619619	120.701982	1312.4	gpx	
17	22.619485	120.701458	1315.7	gpx	
18	22.620426	120.701896	1344.7	gpx	
19	22.62073	120.702303	1360.9	gpx	
20	22.620792	120.70262	1376.0	gpx	
21	22.621032	120.702676	1387.0	gpx	
22	22.621214	120.702556	1397.3	gpx	
23	22.621729	120.702874	1415.5	gpx	
24	22.622546	120.705485	1434.2	gpx	
25	22.62372	120.706189	1433.9	gpx	
26	22.623856	120.706697	1436.1	gpx	
27	22.6242	120.707074	1437.6	gpx	
28	22.624323	120.707581	1438.0	gpx	
29	22.624844	120.707748	1440.2	gpx	
30	22.624675	120.708718	1449.2	gpx	
31	22.624932	120.709112	1460.6	gpx	
32	22.624794	120.710199	1477.9	gpx	
33	22.624925	120.710606	1484.9	gpx	
34	22.623903	120.71113	1488.9	gpx	
35	22.624322	120.711856	1487.3	gpx	
36	22.623795	120.712828	1491.0	gpx	
37	22.623984	120.713167	1492.8	gpx	
38	22.623957	120.71354	1494.4	gpx	
39	22.624145	120.71369	1495.3	gpx	
40	22.624361	120.714203	1497.5	gpx	
41(comm)	22.6245	120.7145	1497.5	comm	comm
