original_filename,new_filename,folder_name,distance,duration_hours,total_ascent,total_descent,abs_ascent_descent_diff,end_date,interval_time,passed_waypoint_taguan_mountain_peak,check_tfidf_塔關山,check_tfidf_南橫三星,check_tfidf_關山嶺山,cluster,pca_1,pca_2,pca_3,original_filename_orig,folder_name_orig
塔關山 - 2025-08-13T211816.807.gpx,HN_Taguan_0212.gpx,HN_Taguan,4.01,3.37,643.8,648.8,5,2023/1/8,202,TRUE,TRUE,FALSE,FALSE,0,-1.46769699,0.419781536,0.275635482,塔關山 - 2025-08-13T211816.807.gpx,HN_Taguan
2022-0603_南橫二星-塔關山.gpx,HN_Taguan_0021.gpx,HN_Taguan,3.89,3.37,656.3,664.4,8.1,2022/6/3,202,TRUE,TRUE,FALSE,FALSE,0,-1.467389809,0.311815394,0.34519863,2022-0603_南橫二星-塔關山.gpx,HN_Taguan
塔關山 - 2025-08-13T211637.016.gpx,HN_Taguan_0185.gpx,HN_Taguan,4,3.38,993.8,982,11.8,2023/3/11,202,TRUE,TRUE,FALSE,FALSE,0,3.521330823,0.142197337,1.081634375,塔關山 - 2025-08-13T211637.016.gpx,HN_Taguan
塔關山 - 2025-08-13T212256.569.gpx,HN_Taguan_0280.gpx,HN_Taguan,4.15,3.42,830.7,836.7,6,2022/7/22,205,TRUE,TRUE,FALSE,FALSE,0,1.519042389,0.36180609,0.671320171,塔關山 - 2025-08-13T212256.569.gpx,HN_Taguan
塔關山 - 2025-08-13T211915.483.gpx,HN_Taguan_0224.gpx,HN_Taguan,4.42,3.44,698.6,696.1,2.5,2022/12/10,206,TRUE,TRUE,FALSE,FALSE,0,-0.016152209,0.675589483,0.263884845,塔關山 - 2025-08-13T211915.483.gpx,HN_Taguan
塔關山 (82).gpx,HN_Taguan_0161.gpx,HN_Taguan,3.86,3.44,648.3,644.3,4,2023/4/4,206,TRUE,TRUE,FALSE,FALSE,0,-1.723456164,0.262526151,0.308575856,塔關山 (82).gpx,HN_Taguan
塔關山 - 2025-08-13T211840.240.gpx,HN_Taguan_0218.gpx,HN_Taguan,3.85,3.45,705.5,705.5,0,2022/12/28,206,TRUE,TRUE,FALSE,FALSE,0,-0.872953197,0.203286198,0.45131122,塔關山 - 2025-08-13T211840.240.gpx,HN_Taguan
塔關山 - 2025-08-13T212053.947.gpx,HN_Taguan_0251.gpx,HN_Taguan,4.68,3.46,821.3,818.6,2.6,2022/9/16,207,TRUE,TRUE,FALSE,FALSE,0,2.226102916,0.780392115,0.474335574,塔關山 - 2025-08-13T212053.947.gpx,HN_Taguan
塔關山 - 2025-08-13T211809.744.gpx,HN_Taguan_0210.gpx,HN_Taguan,4.05,3.46,726.9,721.8,5.1,2023/1/20,207,TRUE,TRUE,FALSE,FALSE,0,-0.253933337,0.34529501,0.434100065,塔關山 - 2025-08-13T211809.744.gpx,HN_Taguan
塔關山 - 2025-08-13T211759.844.gpx,HN_Taguan_0208.gpx,HN_Taguan,4.17,3.48,752.9,751.6,1.3,2023/1/27,208,TRUE,TRUE,FALSE,FALSE,0,0.360733016,0.410225217,0.462871108,塔關山 - 2025-08-13T211759.844.gpx,HN_Taguan
