original_filename,new_filename,folder_name,distance,duration_hours,total_ascent,total_descent,abs_ascent_descent_diff,end_date,interval_time,passed_waypoint_guanshanling_mountain_peak,check_tfidf_關山嶺山,check_tfidf_溪頭山,check_tfidf_塔關山,cluster,pca_1,pca_2,pca_3,original_filename_orig,folder_name_orig
關山嶺山 (21).gpx,HN_Guanshanling_0162.gpx,HN_Guanshanling,2.44,3.36,476,477.5,1.5,2024/7/19 00:00,201,TRUE,TRUE,FALSE,FALSE,0,-0.906056651,0.087723863,0.523962478,關山嶺山 (21).gpx,HN_Guanshanling
關山嶺山 (80).gpx,HN_Guanshanling_0207.gpx,HN_Guanshanling,2.36,3.36,464.1,465.1,1,2023/12/17 00:00,201,TRUE,TRUE,FALSE,FALSE,0,-1.577096505,0.23082108,0.528714759,關山嶺山 (80).gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T140452.315.gpx,HN_Guanshanling_0369.gpx,HN_Guanshanling,2.67,3.35,515.9,518.9,3,2022/8/10 00:00,201,TRUE,TRUE,FALSE,FALSE,0,1.208900393,-0.311751146,0.505594952,關山嶺山 - 2025-08-14T140452.315.gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T140354.775.gpx,HN_Guanshanling_0348.gpx,HN_Guanshanling,2.56,3.35,459.9,493.9,34,2022/9/17 00:00,200,TRUE,TRUE,FALSE,FALSE,0,-0.50693934,-0.199042283,0.481042581,關山嶺山 - 2025-08-14T140354.775.gpx,HN_Guanshanling
0605關山嶺山.gpx,HN_Guanshanling_0001.gpx,HN_Guanshanling,2.87,3.34,552,536.2,15.8,2022/6/5 00:00,200,TRUE,TRUE,FALSE,FALSE,0,2.779352009,-0.696096479,0.488169948,0605關山嶺山.gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T135900.480.gpx,HN_Guanshanling_0261.gpx,HN_Guanshanling,2.88,3.33,572.9,570.5,2.4,2023/4/16 00:00,199,TRUE,TRUE,FALSE,FALSE,0,3.702627256,-0.623501949,0.49531829,關山嶺山 - 2025-08-14T135900.480.gpx,HN_Guanshanling
關山嶺山 (22).gpx,HN_Guanshanling_0163.gpx,HN_Guanshanling,2.68,3.33,468.5,496.8,28.3,2024/7/19 00:00,199,TRUE,TRUE,FALSE,FALSE,0,0.09781336,-0.480598073,0.446728294,關山嶺山 (22).gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T140500.772.gpx,HN_Guanshanling_0373.gpx,HN_Guanshanling,2.46,3.33,446.6,432,14.6,2022/7/11 00:00,199,TRUE,TRUE,FALSE,FALSE,0,-2.044780747,-0.131162911,0.466005407,關山嶺山 - 2025-08-14T140500.772.gpx,HN_Guanshanling
關山嶺山 (81).gpx,HN_Guanshanling_0208.gpx,HN_Guanshanling,2.62,3.32,497.3,484.7,12.6,2023/12/16 00:00,199,TRUE,TRUE,FALSE,FALSE,0,0.18723019,-0.323952226,0.469674643,關山嶺山 (81).gpx,HN_Guanshanling
關山嶺山 (73).gpx,HN_Guanshanling_0202.gpx,HN_Guanshanling,2.6,3.32,479.6,473.1,6.5,2024/1/19 00:00,199,TRUE,TRUE,FALSE,FALSE,0,-0.361887956,-0.330713337,0.458929273,關山嶺山 (73).gpx,HN_Guanshanling
