順序	緯度	經度	海拔（約）	類型	名稱
129	24.394524	121.244894	3331.5	gpx	N/A
130	24.393987	121.244047	3333.8	gpx	N/A
131	24.393957	121.243768	3336	gpx	N/A
132	24.393039	121.242652	3391.8	gpx	N/A
133	24.393039	121.242330	3393.6	gpx	N/A
134	24.392736	121.242116	3396	gpx	N/A
135	24.392668	121.241965	3396.6	gpx	N/A
136	24.392765	121.241751	3397.7	gpx	N/A
137	24.392042	121.241343	3407.1	gpx	N/A
138	24.391993	121.241182	3408.9	gpx	N/A
139	24.391466	121.240796	3419.6	gpx	N/A
140	24.391466	121.240581	3424.6	gpx	N/A
141	24.391300	121.240571	3427.3	gpx	N/A
142	24.391192	121.240270	3435.6	gpx	N/A
143	24.390537	121.239906	3454	gpx	N/A
144	24.390450	121.239744	3457	gpx	N/A
145	24.390195	121.239734	3462.8	gpx	N/A
146	24.390293	121.239305	3470.7	gpx	N/A
147	24.390088	121.239455	3475.1	gpx	N/A
148	24.390078	121.239240	3479.5	gpx	N/A
149	24.389619	121.239412	3490.5	gpx	N/A
150	24.389550	121.239337	3492.4	gpx	N/A
151	24.389375	121.237974	3518.1	gpx	N/A
152	24.389179	121.237888	3522.8	gpx	N/A
153	24.388974	121.237202	3538.2	gpx	N/A
154	24.388564	121.236472	3566.7	gpx	N/A
155	24.386476	121.235989	3642.5	gpx	N/A
156	24.386455	121.235737	3649.9	gpx	N/A
157	24.386255	121.235586	3656.9	gpx	N/A
158	24.385916	121.236016	3665.2	gpx	N/A
159	24.385789	121.235935	3666.4	gpx	N/A
160	24.385765	121.236272	3669.3	gpx	N/A
161	24.384828	121.235525	3685.5	gpx	N/A
162	24.383267	121.232910	3798.5	gpx	N/A
163	24.383415	121.231992	3815.5	gpx	N/A
164	24.383319	121.231870	3815.5	comm	雪山主峰
