順序	緯度	經度	海拔（約）	類型	名稱
153	23.472798	120.909109	2790.25533582177	gpx	N/A
154	23.472850	120.908999	2789.796048734337	gpx	N/A
155	23.472918	120.908892	2793.399752115831	gpx	N/A
156	23.472953	120.908776	2795.5172424400225	gpx	N/A
157	23.473028	120.908682	2796.1497987834737	gpx	N/A
158	23.473099	120.908584	2794.7093095025048	gpx	N/A
159	23.473148	120.908457	2802.7538601923734	gpx	N/A
160	23.473184	120.908402	2803.5473587904125	gpx	N/A
161	23.473235	120.908287	2810.919052186422	gpx	N/A
162	23.473213	120.908160	2810.7870203051716	gpx	N/A
163	23.473186	120.908028	2807.1451834049076	gpx	N/A
164	23.473248	120.907925	2804.583133617416	gpx	N/A
165	23.473297	120.907814	2803.0003096889704	gpx	N/A
166	23.473366	120.907698	2802.7991899885237	gpx	N/A
167	23.473407	120.907584	2801.207086639479	gpx	N/A
168	23.473296	120.907567	2795.1888199569657	gpx	N/A
169	23.473309	120.907445	2792.3678973596543	gpx	N/A
170	23.473237	120.907412	2784.667290709913	gpx	N/A
171	23.473250	120.907284	2773.0335272410884	gpx	N/A
172	23.473334	120.907198	2774.2738419892266	gpx	N/A
173	23.473438	120.907133	2776.1372029669583	gpx	N/A
174	23.473510	120.907034	2776.4563455209136	gpx	N/A
175	23.473569	120.906920	2775.896329325624	gpx	N/A
176	23.473647	120.906828	2775.652644802816	gpx	N/A
177	23.473706	120.906720	2772.4721823250875	gpx	N/A
178	23.473759	120.906612	2768.2092996388674	gpx	N/A
179	23.473740	120.906591	2768.8419741885737	gpx	N/A
180	23.473797	120.906485	2765.497664619237	gpx	N/A
181	23.473863	120.906360	2763.9182275533676	gpx	N/A
182	23.473906	120.906236	2759.8756393073127	gpx	N/A
183	23.473995	120.906156	2755.17737958394	gpx	N/A
184	23.474062	120.906044	2750.203144872561	gpx	N/A
185	23.474135	120.905949	2745.8596133152023	gpx	N/A
186	23.474212	120.905852	2745.7186060911044	gpx	N/A
187	23.474317	120.905810	2745.1644229134545	gpx	N/A
188	23.474382	120.905707	2743.5539811309427	gpx	N/A
189	23.474273	120.905671	2739.992396812886	gpx	N/A
190	23.474161	120.905689	2733.8049782095477	gpx	N/A
191	23.474061	120.905750	2729.935358485207	gpx	N/A
192	23.473958	120.905807	2726.021013281308	gpx	N/A
193	23.473869	120.905885	2723.943704421632	gpx	N/A
194	23.473764	120.905945	2721.283296059817	gpx	N/A
195	23.473661	120.906000	2718.2600656664	gpx	N/A
196	23.473705	120.905866	2715.2864024676383	gpx	N/A
197	23.473778	120.905754	2707.8842826308683	gpx	N/A
198	23.473828	120.905636	2706.5047737378627	gpx	N/A
199	23.473878	120.905514	2702.117476587184	gpx	N/A
200	23.473981	120.905453	2700.0089672682807	gpx	N/A
201	23.474081	120.905390	2699.182226281613	gpx	N/A
202	23.473967	120.905359	2695.883662553504	gpx	N/A
203	23.473846	120.905335	2692.813846032135	gpx	N/A
204	23.473742	120.905419	2684.91914555151	gpx	N/A
205	23.473650	120.905500	2684.2157129440457	gpx	N/A
206	23.473576	120.905595	2683.3626427343115	gpx	N/A
207	23.473509	120.905495	2677.5106014423072	gpx	N/A
208	23.473439	120.905515	2672.135290691629	gpx	N/A
209	23.473464	120.905393	2665.7111602863297	gpx	N/A
210	23.473544	120.905304	2662.382625620812	gpx	N/A
211	23.473618	120.905209	2660.02762842644	gpx	N/A
212	23.473684	120.905100	2656.5069030681625	gpx	N/A
213	23.473780	120.904982	2657.974069670774	gpx	N/A
214	23.473910	120.905005	2656.9453297052532	gpx	N/A
215	23.473968	120.904898	2659.0588432196528	gpx	N/A
216	23.474053	120.904799	2659.2325175628066	gpx	N/A
217	23.474072	120.904779	2658.566093879752	gpx	N/A
218	23.474133	120.904670	2658.7968708174303	gpx	N/A
219	23.474212	120.904571	2657.3823277335614	gpx	N/A
220	23.474263	120.904457	2656.55184926372	gpx	N/A
221	23.474338	120.904355	2656.101265319623	gpx	N/A
222	23.474404	120.904249	2652.627616439946	gpx	N/A
223	23.474514	120.904149	2650.69478127826	gpx	N/A
224	23.474634	120.904102	2649.996552608907	gpx	N/A
225	23.474669	120.904055	2648.2474997118115	gpx	N/A
226	23.474757	120.903950	2647.7701058872044	gpx	N/A
227	23.474836	120.903856	2646.504653456621	gpx	N/A
228	23.474905	120.903751	2644.659939349629	gpx	N/A
229	23.475012	120.903690	2645.6115299062803	gpx	N/A
230	23.475103	120.903610	2644.9694702858105	gpx	N/A
231	23.475162	120.903491	2642.5851954631507	gpx	N/A
232	23.475277	120.903437	2643.8089425191283	gpx	N/A
233	23.475331	120.903377	2644.5162788005546	gpx	N/A
234	23.475414	120.903291	2645.356097191572	gpx	N/A
235	23.475505	120.903191	2644.8049720413983	gpx	N/A
236	23.475574	120.903073	2644.4274250352755	gpx	N/A
237	23.475593	120.902946	2641.272412672639	gpx	N/A
238	23.475631	120.902830	2640.5620264243335	gpx	N/A
239	23.475667	120.902697	2634.120886308141	gpx	N/A
240	23.475749	120.902590	2632.0753920301795	gpx	N/A
241	23.475790	120.902538	2632.137521771714	gpx	N/A
242	23.475796	120.902413	2628.6223176615313	gpx	N/A
243	23.475804	120.902278	2627.2138586742803	gpx	N/A
244	23.475805	120.902152	2626.394247244112	gpx	N/A
245	23.475806	120.902023	2625.711931128986	gpx	N/A
246	23.475861	120.901912	2624.7198693566024	gpx	N/A
247	23.475947	120.901826	2625.1800450924784	gpx	N/A
248	23.475996	120.901691	2626.7682345388457	gpx	N/A
249	23.475970	120.901190	2619.569676003419	gpx	N/A
250	23.476024	120.901075	2615.838970594108	gpx	N/A
251	23.476014	120.900932	2613.617862085812	gpx	N/A
252	23.475964	120.900822	2611.547645281069	gpx	N/A
253	23.475882	120.900736	2608.983891104348	gpx	N/A
254	23.475857	120.900601	2606.564938305877	gpx	N/A
255	23.475853	120.900458	2604.168591546826	gpx	N/A
256	23.475827	120.900326	2604.509494957514	gpx	N/A
257	23.475783	120.900211	2603.3356452928856	gpx	N/A
258	23.475793	120.900170	2603.3356452928856	comm	start
