順序	緯度	經度	海拔（約）	類型	名稱
112	23.258392	120.939476	2895.299321861949	gpx	N/A
113	23.258580	120.939495	2891.241479663598	gpx	N/A
114	23.258749	120.939447	2881.839454993525	gpx	N/A
115	23.258863	120.939397	2870.333964369326	gpx	N/A
116	23.258988	120.939406	2867.3204348486006	gpx	N/A
117	23.259038	120.939414	2867.2527330626795	gpx	N/A
118	23.259089	120.939422	2867.1850312767583	gpx	N/A
119	23.259224	120.939431	2865.604597934599	gpx	N/A
120	23.259369	120.939335	2858.327698015501	gpx	N/A
121	23.259604	120.939193	2854.048726277632	gpx	N/A
122	23.259782	120.939197	2849.0616218588457	gpx	N/A
123	23.259872	120.939202	2846.6487247850537	gpx	N/A
124	23.259874	120.939202	2846.612711395893	gpx	N/A
125	23.259892	120.939191	2846.8164976678368	gpx	N/A
126	23.259933	120.939163	2847.3799834314386	gpx	N/A
127	23.259975	120.939136	2847.94346919504	gpx	N/A
128	23.260021	120.939098	2848.821137465177	gpx	N/A
129	23.260083	120.939068	2848.3848648459384	gpx	N/A
130	23.260137	120.939089	2845.618977202554	gpx	N/A
131	23.260167	120.939094	2842.8530895591703	gpx	N/A
132	23.260280	120.939054	2821.1597751613895	gpx	N/A
133	23.260345	120.938998	2822.2897230811477	gpx	N/A
134	23.260410	120.938969	2823.29959979101	gpx	N/A
135	23.260473	120.939007	2823.2288356118074	gpx	N/A
136	23.260535	120.939060	2823.1580714326046	gpx	N/A
137	23.260598	120.939113	2823.0873072534014	gpx	N/A
138	23.260769	120.939169	2823.0165430741986	gpx	N/A
139	23.260887	120.939065	2810.411504595092	gpx	N/A
140	23.260983	120.939090	2796.3731351307547	gpx	N/A
141	23.261020	120.939122	2794.687250045913	gpx	N/A
142	23.261047	120.939108	2794.0654777435707	gpx	N/A
143	23.261067	120.939077	2793.4759087753114	gpx	N/A
144	23.261088	120.939045	2792.886339807052	gpx	N/A
145	23.261108	120.939013	2792.296770838793	gpx	N/A
146	23.261129	120.938981	2791.7072018705335	gpx	N/A
147	23.261149	120.938950	2791.117632902274	gpx	N/A
148	23.261170	120.938918	2790.528063934015	gpx	N/A
149	23.261190	120.938886	2789.938494965755	gpx	N/A
150	23.261211	120.938855	2789.348925997496	gpx	N/A
151	23.261232	120.938823	2788.7593570292365	gpx	N/A
152	23.261287	120.938826	2786.900722892314	gpx	N/A
153	23.261347	120.938833	2784.9010815144293	gpx	N/A
154	23.261406	120.938841	2782.901440136544	gpx	N/A
155	23.261428	120.938894	2779.514990438031	gpx	N/A
156	23.261446	120.938953	2775.9744509261145	gpx	N/A
157	23.261465	120.939005	2772.433911414198	gpx	N/A
158	23.261493	120.939016	2771.334977707778	gpx	N/A
159	23.261527	120.938995	2771.2824464894265	gpx	N/A
160	23.261561	120.938975	2771.2299152710757	gpx	N/A
161	23.261596	120.938954	2771.1773840527244	gpx	N/A
162	23.261630	120.938934	2771.1248528343735	gpx	N/A
163	23.261664	120.938913	2771.0723216160227	gpx	N/A
164	23.261699	120.938893	2771.0197903976714	gpx	N/A
165	23.261733	120.938872	2770.9672591793205	gpx	N/A
166	23.261767	120.938851	2770.9147279609692	gpx	N/A
167	23.261802	120.938831	2770.8621967426184	gpx	N/A
168	23.261836	120.938810	2770.8096655242675	gpx	N/A
169	23.261871	120.938790	2770.757134305916	gpx	N/A
170	23.261924	120.938779	2769.813912296492	gpx	N/A
171	23.261955	120.938751	2767.9145180672467	gpx	N/A
172	23.261986	120.938723	2766.0151238380013	gpx	N/A
173	23.262018	120.938706	2764.5491964533317	gpx	N/A
174	23.262052	120.938714	2764.0946917060073	gpx	N/A
175	23.262085	120.938722	2763.6401869586825	gpx	N/A
176	23.262119	120.938730	2763.1856822113577	gpx	N/A
177	23.262153	120.938738	2762.7311774640334	gpx	N/A
178	23.262187	120.938745	2762.2766727167086	gpx	N/A
179	23.262220	120.938753	2761.8221679693843	gpx	N/A
180	23.262247	120.938741	2760.935322513844	gpx	N/A
181	23.262269	120.938720	2759.863188183354	gpx	N/A
182	23.262292	120.938700	2758.791053852864	gpx	N/A
183	23.262315	120.938679	2757.718919522374	gpx	N/A
184	23.262338	120.938658	2756.6467851918846	gpx	N/A
185	23.262361	120.938637	2755.5746508613947	gpx	N/A
186	23.262384	120.938616	2754.502516530905	gpx	N/A
187	23.262406	120.938596	2753.430382200415	gpx	N/A
188	23.262429	120.938575	2752.358247869925	gpx	N/A
189	23.262452	120.938554	2751.286113539435	gpx	N/A
190	23.262553	120.938523	2750.2139792089456	gpx	N/A
191	23.262712	120.938520	2741.9788506256627	gpx	N/A
192	23.262803	120.938491	2732.0430033128837	gpx	N/A
193	23.262827	120.938499	2731.1035508949653	gpx	N/A
194	23.262855	120.938495	2730.118517298799	gpx	N/A
195	23.262883	120.938491	2729.133483702633	gpx	N/A
196	23.262911	120.938488	2728.1484501064665	gpx	N/A
197	23.262939	120.938484	2727.1634165103	gpx	N/A
198	23.262967	120.938480	2726.1783829141336	gpx	N/A
