順序	緯度	經度	海拔（約）	類型	名稱
1(comm)	22.61425	120.7478	2501.4	comm	comm
2	22.614196	120.747432	2495.3	gpx	
3	22.613635	120.747171	2484.3	gpx	
4	22.612499	120.746042	2414.5	gpx	
5	22.612654	120.745494	2397.6	gpx	
6	22.612439	120.745151	2381.7	gpx	
7	22.612393	120.744282	2357.8	gpx	
8	22.61253	120.743887	2338.6	gpx	
9	22.612669	120.743643	2327.7	gpx	
10	22.613034	120.743446	2310.0	gpx	
11	22.613059	120.743093	2293.0	gpx	
12	22.613325	120.742896	2277.6	gpx	
13	22.613673	120.742893	2264.3	gpx	
14	22.61368	120.742493	2254.0	gpx	
15	22.614531	120.742248	2226.6	gpx	
16	22.614431	120.741522	2201.3	gpx	
17	22.614658	120.741309	2185.1	gpx	
18	22.614665	120.740254	2122.1	gpx	
19	22.615116	120.741212	2095.6	gpx	
20(cabin)	22.615284	120.7422	2108.7	comm	cabin
