順序	步道名稱	路標指示	緯度	經度	海拔（約）
1	mt_jade_west	start	23.475793	120.90017	
2	mt_jade_west	comm	23.47109	120.9127	
3	mt_jade_west	comm	23.4706	120.918	
4	mt_jade_west	cabin	23.466506	120.94971	
5	mt_jade_west	peak	23.467894	120.94497	
6	mt_jade_west	peak	23.471937	120.93384	
7	mt_jade_west	peak	23.467894	120.94497	
8	mt_jade_west	cabin	23.466506	120.94971	
9	mt_jade_west	comm	23.4706	120.918	
10	mt_jade_west	comm	23.47109	120.9127	
11	mt_jade_west	start	23.475793	120.90017	
