順序	緯度	經度	海拔（約）	類型	名稱
129	23.471332	120.915723	2893	gpx	N/A
130	23.471324	120.915788	2895	gpx	N/A
131	23.471291	120.915879	2896.7	gpx	N/A
132	23.471222	120.915989	2898.4	gpx	N/A
133	23.471135	120.916090	2899.7	gpx	N/A
134	23.470974	120.916187	2901.4	gpx	N/A
135	23.470896	120.916272	2901.9	gpx	N/A
136	23.470822	120.916418	2902	gpx	N/A
137	23.470681	120.916841	2899.6	gpx	N/A
138	23.470681	120.916932	2898.3	gpx	N/A
139	23.470809	120.917191	2894.5	gpx	N/A
140	23.470817	120.917274	2892.9	gpx	N/A
141	23.470793	120.917363	2891.2	gpx	N/A
142	23.470731	120.917495	2889.2	gpx	N/A
143	23.470534	120.917722	2882.1	gpx	N/A
144	23.470495	120.917830	2879.6	gpx	N/A
145	23.470481	120.917956	2877.1	gpx	N/A
146	23.470600	120.918000	2877.1	comm	comm
147	23.470477	120.918075	2871.2	gpx	N/A
148	23.470477	120.918075	2784	gpx	N/A
149	23.470496	120.918135	2832.7	gpx	N/A
150	23.470695	120.918370	2867.7	gpx	N/A
151	23.470805	120.918472	2871.8	gpx	N/A
152	23.470936	120.918539	2874.3	gpx	N/A
153	23.471386	120.918675	2879.4	gpx	N/A
154	23.471494	120.918755	2879.8	gpx	N/A
155	23.471572	120.918902	2880.1	gpx	N/A
156	23.471616	120.919067	2880.7	gpx	N/A
157	23.471631	120.919187	2881.2	gpx	N/A
158	23.471599	120.919269	2881.6	gpx	N/A
159	23.471392	120.919502	2882.4	gpx	N/A
160	23.471373	120.919576	2887.4	gpx	N/A
161	23.471392	120.919728	2887.4	gpx	N/A
162	23.471382	120.919781	2887.1	gpx	N/A
163	23.471284	120.919965	2885.8	gpx	N/A
164	23.471278	120.920038	2885.1	gpx	N/A
165	23.471294	120.920210	2884.4	gpx	N/A
166	23.471543	120.920378	2882.4	gpx	N/A
167	23.471610	120.920464	2881.7	gpx	N/A
168	23.471630	120.920513	2881.1	gpx	N/A
169	23.471636	120.920549	2880.4	gpx	N/A
170	23.471617	120.920571	2879.6	gpx	N/A
171	23.471472	120.920637	2878.7	gpx	N/A
172	23.471441	120.920681	2877.6	gpx	N/A
173	23.471435	120.920733	2876.6	gpx	N/A
174	23.471457	120.920813	2875.5	gpx	N/A
175	23.471617	120.920965	2873.4	gpx	N/A
176	23.471748	120.921026	2872.4	gpx	N/A
177	23.471895	120.921043	2871.5	gpx	N/A
178	23.472021	120.921110	2870.6	gpx	N/A
179	23.472099	120.921171	2869.7	gpx	N/A
180	23.472152	120.921232	2868.8	gpx	N/A
181	23.472073	120.921382	2868	gpx	N/A
182	23.472097	120.921453	2867.3	gpx	N/A
183	23.472156	120.921522	2866.6	gpx	N/A
184	23.472323	120.921646	2865.4	gpx	N/A
185	23.472394	120.921684	2864.9	gpx	N/A
186	23.472512	120.921716	2864.3	gpx	N/A
187	23.472517	120.921761	2863.7	gpx	N/A
188	23.472484	120.921799	2863.2	gpx	N/A
189	23.472414	120.921827	2863	gpx	N/A
190	23.472350	120.921874	2863	gpx	N/A
191	23.472329	120.921951	2863.1	gpx	N/A
192	23.472367	120.922145	2864.3	gpx	N/A
193	23.472353	120.922197	2865.2	gpx	N/A
194	23.472257	120.922237	2866.2	gpx	N/A
195	23.472244	120.922390	2867.4	gpx	N/A
196	23.472171	120.922469	2868.8	gpx	N/A
197	23.472090	120.922521	2870.5	gpx	N/A
198	23.471836	120.922611	2874.4	gpx	N/A
199	23.471580	120.922749	2881.6	gpx	N/A
200	23.471504	120.922901	2885	gpx	N/A
201	23.471483	120.922973	2888.4	gpx	N/A
202	23.471551	120.923194	2895.8	gpx	N/A
203	23.471645	120.923353	2899.5	gpx	N/A
204	23.471749	120.923423	2902.8	gpx	N/A
205	23.471777	120.923461	2906.1	gpx	N/A
206	23.471775	120.923573	2909.3	gpx	N/A
207	23.471637	120.923726	2915.2	gpx	N/A
208	23.471618	120.923819	2918	gpx	N/A
209	23.471640	120.923879	2920.7	gpx	N/A
210	23.471735	120.923985	2923.2	gpx	N/A
211	23.471748	120.924042	2925.6	gpx	N/A
212	23.471742	120.924088	2927.7	gpx	N/A
213	23.471712	120.924109	2929.6	gpx	N/A
214	23.471306	120.924192	2935.5	gpx	N/A
215	23.471185	120.924247	2935.9	gpx	N/A
216	23.471110	120.924345	2936.3	gpx	N/A
217	23.470976	120.924614	2937.4	gpx	N/A
218	23.470921	120.924695	2938	gpx	N/A
