順序	緯度	經度	海拔（約）	類型	名稱
129	22.623903	120.711130	1492.2	gpx	N/A
130	22.624925	120.710606	1487	gpx	N/A
131	22.624794	120.710199	1488.5	gpx	N/A
132	22.624933	120.709549	1489.1	gpx	N/A
133	22.624932	120.709112	1488.5	gpx	N/A
134	22.624691	120.708791	1486.1	gpx	N/A
135	22.624829	120.707695	1464.3	gpx	N/A
136	22.624361	120.707628	1454.3	gpx	N/A
137	22.624200	120.707074	1446.6	gpx	N/A
138	22.623856	120.706697	1441.8	gpx	N/A
139	22.623720	120.706189	1439.3	gpx	N/A
140	22.622546	120.705485	1436.1	gpx	N/A
141	22.621729	120.702874	1430.6	gpx	N/A
142	22.621214	120.702556	1428.6	gpx	N/A
143	22.621032	120.702676	1428.3	gpx	N/A
144	22.620792	120.702620	1427.5	gpx	N/A
145	22.620730	120.702303	1425	gpx	N/A
146	22.620426	120.701896	1417.5	gpx	N/A
147	22.619485	120.701458	1376	gpx	N/A
148	22.619656	120.701958	1316.1	gpx	N/A
149	22.619461	120.701734	1316.5	gpx	N/A
150	22.618166	120.701233	1314.6	gpx	N/A
151	22.617318	120.700609	1303.6	gpx	N/A
152	22.616764	120.700355	1296.9	gpx	N/A
153	22.616439	120.700561	1291.6	gpx	N/A
154	22.616550	120.701017	1286.7	gpx	N/A
155	22.616275	120.701188	1268.5	gpx	N/A
156	22.616251	120.701439	1265.3	gpx	N/A
157	22.616116	120.701584	1263.3	gpx	N/A
158	22.615880	120.701480	1261.9	gpx	N/A
159	22.615677	120.701779	1260.4	gpx	N/A
160	22.615405	120.701642	1254.2	gpx	N/A
161	22.614970	120.701848	1253.4	gpx	N/A
162	22.615088	120.702209	1230.8	gpx	N/A
163	22.615088	120.702209	1230.8	comm	start
